Time,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,others
2018-04-13 22:00:00 UTC,7838.270831,7798.912,7836.117248,7860.118617,7839.843049,8012.259845,7842.913167,7841.370647,7882.315237
2018-04-13 23:00:00 UTC,7929.046015,7883.562384,7920.883081,7976.606382,7917.958576,8145.056308,7929.81,7923.526419,7904.333527
2018-04-14 00:00:00 UTC,7883.85389,7889.85733,7875.148282,7939.669618,7875.573585,8090.471943,7885.010556,7879.247666,7900.203927
2018-04-14 01:00:00 UTC,8000.738172,8010.331731,7996.521673,8063.850647,8013.460806,8207.277039,8025.407817,8008.393426,7963.936008
2018-04-14 02:00:00 UTC,8042.860957,8074.173636,8036.119254,8083.338564,8040.215889,8251.777684,8046.740897,8045.221082,7986.921718
2018-04-14 03:00:00 UTC,8032.296159,8057.350698,8017.902035,8105.160431,8020.266735,8228.934962,8026.06122,8027.014162,7978.082656
2018-04-14 04:00:00 UTC,8012.081281,8023.230178,8000.581759,8086.770719,8008.055915,8195.955342,8009.905897,7999.178723,7963.538493
2018-04-14 05:00:00 UTC,8006.687651,7988.388861,7998.042215,8046.530312,7993.533254,8186.265595,8005.611636,7996.240921,7946.280504
2018-04-14 06:00:00 UTC,7999.409759,7979.229851,7990.529818,8024.811091,7994.348056,8188.159682,8002.660256,8004.493082,7962.907293
2018-04-14 07:00:00 UTC,8145.713226,8087.051211,8095.983936,8143.601343,8108.24566,8288.059809,8120.411549,8133.723974,8049.1662
2018-04-14 08:00:00 UTC,8136.596003,8106.461026,8117.385196,8166.679495,8138.947462,8299.957296,8127.601081,8141.162923,8094.864884
2018-04-14 09:00:00 UTC,8084.644463,8027.9281,8051.918303,8109.457272,8054.699779,8248.26868,8053.554476,8070.695265,8073.967851
2018-04-14 10:00:00 UTC,8000.627537,7960.58311,7986.151537,8033.358336,7973.508878,8181.400568,7987.318487,7989.547059,8009.470277
2018-04-14 11:00:00 UTC,7992.620456,7967.936964,7979.968039,8032.741247,7979.384386,8175.33411,7988.936154,8002.650261,7979.541204
2018-04-14 12:00:00 UTC,7927.553779,7915.702453,7921.522619,7968.97359,7918.181721,8120.606117,7917.303239,7931.596061,7968.70597
2018-04-14 13:00:00 UTC,7957.542107,7929.711176,7937.969195,7964.109172,7935.822472,8124.182286,7941.880696,7953.819239,7974.395514
2018-04-14 14:00:00 UTC,7966.96034,7955.915607,7957.722774,7979.978975,7950.10751,8136.760969,7957.440494,7970.975595,7993.973861
2018-04-14 15:00:00 UTC,7989.501346,7975.228358,7981.63328,7993.145228,7978.177594,8184.309675,7983.688161,7992.755,8022.176266
2018-04-14 16:00:00 UTC,7980.058843,7977.822396,7969.900028,7990.935427,7969.307614,8167.6467,7967.8277,7974.971605,8004.35555
2018-04-14 17:00:00 UTC,7972.682075,7963.053968,7977.009228,8002.357207,7968.71224,8182.476123,7965.644359,7983.051411,8007.96748
2018-04-14 18:00:00 UTC,7992.773534,7979.480952,7993.085535,8020.113581,7981.714821,8178.480643,7981.12619,8000.044423,8021.70977
2018-04-14 19:00:00 UTC,8018.616992,7994.114577,8022.217116,8045.008309,8016.058101,8202.695078,8017.353333,8019.535446,8050.074511
2018-04-14 20:00:00 UTC,8047.25385,8007.407193,8053.603275,8074.238324,8050.820691,8219.774974,8042.649123,8051.227022,8062.514684
2018-04-14 21:00:00 UTC,8060.633192,8025.337853,8064.996214,8082.041394,8057.853655,8253.98754,8052.123636,8061.264894,8077.094957
2018-04-14 22:00:00 UTC,8054.898854,8022.845588,8062.768582,8054.341343,8053.845287,8256.808588,8057.437963,8058.276829,8079.183246
2018-04-14 23:00:00 UTC,8002.918802,7973.720787,8016.747396,8019.014743,8011.307165,8209.646161,8009.028687,8005.528141,8042.316971
